title,video id,youtube url,filename,tags
Inverted Row With Weight Vest,UaMZVlyU4w8,https://www.youtube.com/watch?v=UaMZVlyU4w8,,['upper body']
Kettlebell Split Squat With Blocked Knee,XvY9j3Vb9dA,https://www.youtube.com/watch?v=XvY9j3Vb9dA,,['lower body']
Hanging Unilateral March,YfIZB8WV0Ug,https://www.youtube.com/watch?v=YfIZB8WV0Ug,,['Uncategorized']
Goblet Step-Up,ZCW7_vinda4,https://www.youtube.com/watch?v=ZCW7_vinda4,,['Uncategorized']
Half-Kneeling Band Chop,b-9Npg9n7xI,https://www.youtube.com/watch?v=b-9Npg9n7xI,,['band']
Inverted Row With Feet Elevated,c57I5P2b2MU,https://www.youtube.com/watch?v=c57I5P2b2MU,,['upper body']
Half-Kneeling Band Lift,cXFm-nXqAfU,https://www.youtube.com/watch?v=cXFm-nXqAfU,,['band']
Half-Kneeling Cable Chop,cr9jrIcbpKA,https://www.youtube.com/watch?v=cr9jrIcbpKA,,['Uncategorized']
Landmine Rainbow,d4wjS9dV92c,https://www.youtube.com/watch?v=d4wjS9dV92c,,['Uncategorized']
Inverted Row,4NFyOKkwuwk,https://www.youtube.com/watch?v=4NFyOKkwuwk,,['upper body']
Half-Kneeling Pallof Press Iso,6IvdIMlDPpI,https://www.youtube.com/watch?v=6IvdIMlDPpI,,['upper body']
Hinge to Side Plank,8aFSBYY2jZU,https://www.youtube.com/watch?v=8aFSBYY2jZU,,['core']
Kettlebell Armbar,EVr1mYdf07k,https://www.youtube.com/watch?v=EVr1mYdf07k,,['upper body']
Hand Cross-Over,HeVjHXbb_NU,https://www.youtube.com/watch?v=HeVjHXbb_NU,,['Uncategorized']
