title,video id,youtube url,filename,tags,primary_movement_pattern
Band-Assisted Chin-Up,T2fqfULPj2I,https://www.youtube.com/watch?v=T2fqfULPj2I,,['band'],
Band-Assisted Neutral-Grip Pull-Up,03DDGXj-9ZA,https://www.youtube.com/watch?v=03DDGXj-9ZA,,"'band'], Pull, ['upper body', arm",Pull
Anderson Front Squat,47kDGTflr20,https://www.youtube.com/watch?v=47kDGTflr20,,"Squat, ['lower body']",Squat
Band-Resisted Ab Wheel Iso,9z8dtaNz4EA,https://www.youtube.com/watch?v=9z8dtaNz4EA,,"Core, ['band']",Core
Band-Assisted Pushup,IczycfOOBck,https://www.youtube.com/watch?v=IczycfOOBck,,"'band'], Push, ['upper body', upper body",Push
Barbell Sumo Deadlift,ogkdhWVfjIE,https://www.youtube.com/watch?v=ogkdhWVfjIE,,"Hinge, ['lower body']",Hinge
Bodyweight Squat Thrust,vg6p96rE5PU,https://www.youtube.com/watch?v=vg6p96rE5PU,,"Squat, ['lower body']",Squat
Bird Dog,SszoTQs6q9Y,https://www.youtube.com/watch?v=SszoTQs6q9Y,,"Core, ['Uncategorized']",Core
Barbell Slideboard Reverse Lunge,TQN7Kna-4U4,https://www.youtube.com/watch?v=TQN7Kna-4U4,,"Squat, ['lower body']",Squat
Barbell Split Squat,X2ma6SANyZk,https://www.youtube.com/watch?v=X2ma6SANyZk,,"Squat, ['lower body']",Squat
Bodyweight Squat to Box,YC1s3RMGS8M,https://www.youtube.com/watch?v=YC1s3RMGS8M,,"Squat, ['lower body']",Squat
Bodyweight Cross-Over Step-Up,_EaSo93jnXU,https://www.youtube.com/watch?v=_EaSo93jnXU,,['Uncategorized'],
Bodyweight Reverse Lunge With Blocked Knee,cv-B2kJanb0,https://www.youtube.com/watch?v=cv-B2kJanb0,,"Squat, ['lower body']",Squat
Barbell Push Press,g4jjxrpgLHM,https://www.youtube.com/watch?v=g4jjxrpgLHM,,"Push, ['upper body'], upper body",Push
