id,name,video_url,movement_type,body_focus
198,Dumbbell Floor Press,https://www.youtube.com/watch?v=YubE9M8Ui34,strength,"[""upper-body""]"
403,Dumbbell Floor Press,https://www.youtube.com/watch?v=YubE9M8Ui34,Strength,"[""Full Body""]"
188,Dumbbell Flye EQI,https://www.youtube.com/watch?v=wbkyEWHiTcM,strength,"[""full-body""]"
342,Dumbbell Flye EQI,https://www.youtube.com/watch?v=wbkyEWHiTcM,,"[""Full Body""]"
392,Dumbbell Flye EQI,https://www.youtube.com/watch?v=wbkyEWHiTcM,,"[""Full Body""]"
210,Dumbbell Full Squat,https://www.youtube.com/watch?v=FGr3e9QJTzE,strength,"[""lower-body""]"
368,Dumbbell Full Squat,https://www.youtube.com/watch?v=FGr3e9QJTzE,Strength,"[""Full Body""]"
418,Dumbbell Full Squat,https://www.youtube.com/watch?v=FGr3e9QJTzE,Strength,"[""Full Body""]"
190,Dumbbell Hammer Curl,https://www.youtube.com/watch?v=yAb_ydjrCLg,strength,"[""full-body""]"
429,Dumbbell Overhead Shrug,https://www.youtube.com/watch?v=lLlTDqZ2cy0,,"[""Full Body""]"
185,Dumbbell Overhead Shrug,https://www.youtube.com/watch?v=lLlTDqZ2cy0,strength,"[""full-body""]"
379,Dumbbell Overhead Shrug,https://www.youtube.com/watch?v=lLlTDqZ2cy0,,"[""Full Body""]"
376,Dumbbell Push Press,https://www.youtube.com/watch?v=Oiu1F14Ayho,Strength,"[""Full Body""]"
194,Dumbbell Push Press,https://www.youtube.com/watch?v=Oiu1F14Ayho,strength,"[""upper-body""]"
426,Dumbbell Push Press,https://www.youtube.com/watch?v=Oiu1F14Ayho,Strength,"[""Full Body""]"
195,Dumbbell Reverse Lunge,https://www.youtube.com/watch?v=TEzLNj4pcV0,strength,"[""lower-body""]"
212,Dumbbell Reverse Lunge From Deficit,https://www.youtube.com/watch?v=e9AtoZ1iWD4,strength,"[""lower-body""]"
240,Dumbbell Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=MWQEv3IeByI,strength,"[""lower-body""]"
239,Dumbbell Reverse Lunge to Romanian Deadlift,https://www.youtube.com/watch?v=LSHRaS9UXnI,strength,"[""lower-body""]"
232,Dumbbell Romanian Deadlift,https://www.youtube.com/watch?v=4Q1fbpevyug,strength,"[""full-body""]"
227,Dumbbell Slideboard Reverse Lunge,https://www.youtube.com/watch?v=arK9PURbeuI,strength,"[""lower-body""]"
222,Dumbbell Split Squat,https://www.youtube.com/watch?v=N6GPA5FB_n8,strength,"[""lower-body""]"
221,Dumbbell Squat Thrust,https://www.youtube.com/watch?v=MvP2r-bnhd8,strength,"[""lower-body""]"
230,Dumbbell Step-Up,https://www.youtube.com/watch?v=cd21zwyH7p4,strength,"[""full-body""]"
225,Dumbbell Sumo Deadlift,https://www.youtube.com/watch?v=UPs2GvQSZ2U,strength,"[""full-body""]"
223,Dynamic Blackburn,https://www.youtube.com/watch?v=Pru2Wo2nmpk,strength,"[""full-body""]"
235,Eccentric Chin-Up,https://www.youtube.com/watch?v=DNGHZrADXKQ,strength,"[""full-body""]"
234,Eccentric Pull-Up,https://www.youtube.com/watch?v=CRHxbHDMJAk,strength,"[""upper-body""]"
224,Elbow Plank Bodysaw,https://www.youtube.com/watch?v=S8cRYEgb-JI,strength,"[""core""]"
220,Explosive Pushup,https://www.youtube.com/watch?v=tvAKMvYw9rk,strength,"[""upper-body""]"
215,Face Pull,https://www.youtube.com/watch?v=l8HomIMKAaw,strength,"[""upper-body""]"
211,Feet-Elevated Band-Resisted Pushup,https://www.youtube.com/watch?v=dzclirx8a6E,strength,"[""upper-body""]"
216,Feet-Elevated Pushup,https://www.youtube.com/watch?v=nDw9lP8SvIk,strength,"[""upper-body""]"
233,Feet-Elevated Pushup to Single-Arm Support,https://www.youtube.com/watch?v=CMKmUC6QJ6s,strength,"[""upper-body""]"
238,Feet-Elevated Side Plank,https://www.youtube.com/watch?v=Jx-ba4YDguM,strength,"[""core""]"
226,Fetal-Position Breathing,https://www.youtube.com/watch?v=UYxoElmDeio,strength,"[""full-body""]"
218,Forearm Wall-Slide at 135 Degrees,https://www.youtube.com/watch?v=qYYyC_oIwUY,strength,"[""upper-body""]"
432,Gentle Shoulder Rolls,https://www.youtube.com/watch?v=FP-NnyJ4DIA,Mobility,"[""Shoulders"", ""Upper Body""]"
229,Goblet Lateral Lunge,https://www.youtube.com/watch?v=c8bqYeHQi3c,strength,"[""lower-body""]"
217,Goblet Lateral Lunge Walk,https://www.youtube.com/watch?v=oLHMYvkKAyE,cardiovascular,"[""lower-body"", ""cardio""]"
236,Goblet Lateral Squat,https://www.youtube.com/watch?v=GKbuxJEIeeo,strength,"[""lower-body""]"
214,Goblet Lunge,https://www.youtube.com/watch?v=gMrYuoxjN38,strength,"[""lower-body""]"
219,Goblet Reverse Lunge,https://www.youtube.com/watch?v=syZu1ufoMhk,strength,"[""lower-body""]"
228,Goblet Reverse Lunge With Blocked Knee,https://www.youtube.com/watch?v=bcpGpUqpDyM,strength,"[""lower-body""]"
231,Goblet Split Squat,https://www.youtube.com/watch?v=-FTDMjHFMqo,strength,"[""lower-body""]"
237,Goblet Split Squat With Blocked Knee,https://www.youtube.com/watch?v=HOSLM_P-5Rs,strength,"[""lower-body""]"
213,Goblet Squat,https://www.youtube.com/watch?v=fS9Pt1IXqb4,strength,"[""lower-body""]"
269,Goblet Squat Iso,https://www.youtube.com/watch?v=S7S3npfdAN0,strength,"[""lower-body""]"
246,Goblet Squat With Pulse,https://www.youtube.com/watch?v=s4Al9zNsu78,strength,"[""lower-body""]"
247,Goblet Squat to Box,https://www.youtube.com/watch?v=sR0u2hustt8,strength,"[""lower-body""]"
255,Goblet Step-Up,https://www.youtube.com/watch?v=ZCW7_vinda4,strength,"[""full-body""]"
245,Half Get-Up,https://www.youtube.com/watch?v=ryl9c9h-fng,strength,"[""full-body""]"
256,Half-Kneeling Band Chop,https://www.youtube.com/watch?v=b-9Npg9n7xI,strength,"[""full-body""]"
258,Half-Kneeling Band Lift,https://www.youtube.com/watch?v=cXFm-nXqAfU,strength,"[""full-body""]"
250,Half-Kneeling Band Overhead Shrug,https://www.youtube.com/watch?v=yFg1Tzx1koc,strength,"[""full-body""]"
